N	R	I
0	1002.16	9.7e-05
1	1002.16	9.7e-05
2	1002.17	9.7e-05
3	1002.16	9.7e-05
4	1002.18	9.7e-05
5	1002.18	9.7e-05
6	1002.15	9.7e-05
7	1002.18	9.7e-05
8	1002.18	9.7e-05
9	1002.18	9.7e-05
10	1002.18	9.7e-05
11	1002.17	9.7e-05
12	1002.17	9.7e-05
13	1002.17	9.7e-05
14	1002.17	9.7e-05
15	1002.18	9.7e-05
16	1002.19	9.7e-05
17	1002.16	9.7e-05
18	1002.19	9.7e-05
19	1002.16	9.7e-05
20	1002.17	9.7e-05
21	1002.19	9.7e-05
22	1002.18	9.7e-05
23	1002.2	9.7e-05
24	1002.18	9.7e-05
25	1002.16	9.7e-05
26	1002.16	9.7e-05
27	1002.16	9.7e-05
28	1002.19	9.7e-05
29	1002.16	9.7e-05
30	1002.16	9.7e-05
31	1002.16	9.7e-05
32	1002.16	9.7e-05
33	1002.15	9.7e-05
34	1002.16	9.7e-05
35	1002.15	9.7e-05
36	1002.16	9.7e-05
37	1002.17	9.7e-05
38	1002.17	9.7e-05
39	1002.19	9.7e-05
40	1002.17	9.7e-05
41	1002.16	9.7e-05
42	1002.15	9.7e-05
43	1002.15	9.7e-05
44	1002.17	9.7e-05
45	1002.16	9.7e-05
46	1002.15	9.7e-05
47	1002.18	9.7e-05
48	1002.17	9.7e-05
49	1002.17	9.7e-05
50	1002.18	9.7e-05
51	1002.22	9.7e-05
52	1002.21	9.7e-05
53	1002.21	9.7e-05
54	1002.2	9.7e-05
55	1002.19	9.7e-05
56	1002.19	9.7e-05
57	1002.18	9.7e-05
58	1002.16	9.7e-05
59	1002.17	9.7e-05
60	1002.17	9.7e-05
61	1002.16	9.7e-05
62	1002.16	9.7e-05
63	1002.18	9.7e-05
64	1002.17	9.7e-05
65	1002.17	9.7e-05
66	1002.16	9.7e-05
67	1002.16	9.7e-05
68	1002.15	9.7e-05
69	1002.17	9.7e-05
70	1002.17	9.7e-05
71	1002.18	9.7e-05
72	1002.18	9.7e-05
73	1002.17	9.7e-05
74	1002.19	9.7e-05
75	1002.18	9.7e-05
76	1002.2	9.7e-05
77	1002.17	9.7e-05
78	1002.15	9.7e-05
79	1002.18	9.7e-05
80	1002.16	9.7e-05
81	1002.18	9.7e-05
82	1002.16	9.7e-05
83	1002.18	9.7e-05
84	1002.17	9.7e-05
85	1002.16	9.7e-05
86	1002.18	9.7e-05
87	1002.17	9.7e-05
88	1002.16	9.7e-05
89	1002.16	9.7e-05
90	1002.17	9.7e-05
91	1002.17	9.7e-05
92	1002.19	9.7e-05
93	1002.19	9.7e-05
94	1002.2	9.7e-05
95	1002.16	9.7e-05
96	1002.17	9.7e-05
97	1002.17	9.7e-05
98	1002.17	9.7e-05
99	1002.17	9.7e-05
