N	R	I
0	1083.73	9.7e-05
1	1083.75	9.7e-05
2	1083.76	9.7e-05
3	1083.73	9.7e-05
4	1083.73	9.7e-05
5	1083.75	9.7e-05
6	1083.76	9.7e-05
7	1083.76	9.7e-05
8	1083.76	9.7e-05
9	1083.76	9.7e-05
10	1083.77	9.7e-05
11	1083.75	9.7e-05
12	1083.72	9.7e-05
13	1083.74	9.7e-05
14	1083.74	9.7e-05
15	1083.73	9.7e-05
16	1083.75	9.7e-05
17	1083.78	9.7e-05
18	1083.75	9.7e-05
19	1083.75	9.7e-05
20	1083.75	9.7e-05
21	1083.75	9.7e-05
22	1083.75	9.7e-05
23	1083.78	9.7e-05
24	1083.78	9.7e-05
25	1083.76	9.7e-05
26	1083.78	9.7e-05
27	1083.76	9.7e-05
28	1083.76	9.7e-05
29	1083.77	9.7e-05
30	1083.79	9.7e-05
31	1083.79	9.7e-05
32	1083.79	9.7e-05
33	1083.79	9.7e-05
34	1083.82	9.7e-05
35	1083.8	9.7e-05
36	1083.8	9.7e-05
37	1083.8	9.7e-05
38	1083.83	9.7e-05
39	1083.82	9.7e-05
40	1083.83	9.7e-05
41	1083.83	9.7e-05
42	1083.82	9.7e-05
43	1083.83	9.7e-05
44	1083.86	9.7e-05
45	1083.87	9.7e-05
46	1083.86	9.7e-05
47	1083.9	9.7e-05
48	1083.92	9.7e-05
49	1083.93	9.7e-05
50	1083.93	9.7e-05
51	1083.95	9.7e-05
52	1083.98	9.7e-05
53	1083.96	9.7e-05
54	1083.98	9.7e-05
55	1083.99	9.7e-05
56	1084.03	9.7e-05
57	1084.03	9.7e-05
58	1084.04	9.7e-05
59	1084.05	9.7e-05
60	1084.08	9.7e-05
61	1084.12	9.7e-05
62	1084.13	9.7e-05
63	1084.14	9.7e-05
64	1084.15	9.7e-05
65	1084.21	9.7e-05
66	1084.2	9.7e-05
67	1084.22	9.7e-05
68	1084.3	9.7e-05
69	1084.28	9.7e-05
70	1084.33	9.7e-05
71	1084.35	9.7e-05
72	1084.37	9.7e-05
73	1084.38	9.7e-05
74	1084.41	9.7e-05
75	1084.44	9.7e-05
76	1084.47	9.7e-05
77	1084.51	9.7e-05
78	1084.53	9.7e-05
79	1084.57	9.7e-05
80	1084.59	9.7e-05
81	1084.63	9.7e-05
82	1084.66	9.7e-05
83	1084.71	9.7e-05
84	1084.75	9.7e-05
85	1084.77	9.7e-05
86	1084.84	9.7e-05
87	1084.86	9.7e-05
88	1084.9	9.7e-05
89	1084.94	9.7e-05
90	1084.93	9.7e-05
91	1084.97	9.7e-05
92	1085.02	9.7e-05
93	1085.08	9.7e-05
94	1085.1	9.7e-05
95	1085.12	9.7e-05
96	1085.19	9.7e-05
97	1085.21	9.7e-05
98	1085.25	9.7e-05
99	1085.32	9.7e-05
100	1085.35	9.7e-05
101	1085.4	9.7e-05
102	1085.43	9.7e-05
103	1085.44	9.7e-05
104	1085.51	9.7e-05
105	1085.55	9.7e-05
106	1085.62	9.7e-05
107	1085.65	9.7e-05
108	1085.69	9.7e-05
109	1085.75	9.7e-05
110	1085.79	9.7e-05
111	1085.83	9.7e-05
112	1085.89	9.7e-05
113	1085.93	9.7e-05
114	1085.97	9.7e-05
115	1086.0	9.7e-05
116	1086.12	9.7e-05
117	1086.13	9.7e-05
118	1086.17	9.7e-05
119	1086.24	9.7e-05
120	1086.3	9.7e-05
121	1086.33	9.7e-05
122	1086.41	9.7e-05
123	1086.4	9.7e-05
124	1086.47	9.7e-05
125	1086.53	9.7e-05
126	1086.62	9.7e-05
127	1086.68	9.7e-05
128	1086.72	9.7e-05
129	1086.75	9.7e-05
130	1086.81	9.7e-05
131	1086.84	9.7e-05
132	1086.9	9.7e-05
133	1086.97	9.7e-05
134	1086.99	9.7e-05
135	1087.05	9.7e-05
136	1087.1	9.7e-05
137	1087.14	9.7e-05
138	1087.21	9.7e-05
139	1087.28	9.7e-05
140	1087.33	9.7e-05
141	1087.34	9.7e-05
142	1087.38	9.7e-05
143	1087.42	9.7e-05
144	1087.48	9.7e-05
145	1087.53	9.7e-05
146	1087.56	9.7e-05
147	1087.59	9.7e-05
148	1087.65	9.7e-05
149	1087.69	9.7e-05
150	1087.76	9.7e-05
151	1087.8	9.7e-05
152	1087.82	9.7e-05
153	1087.88	9.7e-05
154	1087.91	9.7e-05
155	1087.98	9.7e-05
156	1088.0	9.7e-05
157	1088.02	9.7e-05
158	1088.06	9.7e-05
159	1088.12	9.7e-05
160	1088.14	9.7e-05
161	1088.17	9.7e-05
162	1088.18	9.7e-05
163	1088.22	9.7e-05
164	1088.24	9.7e-05
165	1088.3	9.7e-05
166	1088.33	9.7e-05
167	1088.37	9.7e-05
168	1088.41	9.7e-05
169	1088.4	9.7e-05
170	1088.47	9.7e-05
171	1088.5	9.7e-05
172	1088.5	9.7e-05
173	1088.53	9.7e-05
174	1088.59	9.7e-05
175	1088.6	9.7e-05
176	1088.61	9.7e-05
177	1088.64	9.7e-05
178	1088.63	9.7e-05
179	1088.67	9.7e-05
180	1088.69	9.7e-05
181	1088.74	9.7e-05
182	1088.76	9.7e-05
183	1088.75	9.7e-05
184	1088.75	9.7e-05
185	1088.76	9.7e-05
186	1088.79	9.7e-05
187	1088.82	9.7e-05
188	1088.81	9.7e-05
189	1088.84	9.7e-05
