N	R	I
0	1097.86	9.7e-05
1	1097.87	9.7e-05
2	1097.87	9.7e-05
3	1097.9	9.7e-05
4	1097.88	9.7e-05
5	1097.89	9.7e-05
6	1097.91	9.7e-05
7	1097.89	9.7e-05
8	1097.9	9.7e-05
9	1097.87	9.7e-05
10	1097.86	9.7e-05
11	1097.86	9.7e-05
12	1097.89	9.7e-05
13	1097.88	9.7e-05
14	1097.89	9.7e-05
15	1097.87	9.7e-05
16	1097.88	9.7e-05
17	1097.87	9.7e-05
18	1097.85	9.7e-05
19	1097.86	9.7e-05
20	1097.87	9.7e-05
21	1097.83	9.7e-05
22	1097.84	9.7e-05
23	1097.88	9.7e-05
24	1097.86	9.7e-05
25	1097.84	9.7e-05
26	1097.86	9.7e-05
27	1097.88	9.7e-05
28	1097.88	9.7e-05
29	1097.88	9.7e-05
30	1097.87	9.7e-05
31	1097.87	9.7e-05
32	1097.87	9.7e-05
33	1097.89	9.7e-05
34	1097.88	9.7e-05
35	1097.89	9.7e-05
36	1097.9	9.7e-05
37	1097.88	9.7e-05
38	1097.88	9.7e-05
39	1097.88	9.7e-05
40	1097.88	9.7e-05
